Label(A_A'_B_X),E_A1,E_A',E_P,E_K,E_H
Ho_Tl_Zr_Se_,-4.508,-2.269,-76.484,-98.302,-72.265
Ho_Tl_Zr_S_,-4.508,-2.269,-83.934,-106.626,-78.752
Ho_Tm_Ag_S_,-4.508,-4.472,-62.248,-82.74,-62.236
Ho_Tm_Al_S_,-4.508,-4.472,-63.676,-84.917,-63.642
Ho_Tm_Cs_O_,-4.508,-4.472,-77.163,-103.248,-77.351
Ho_Tm_Ga_Te_,-4.508,-4.472,-52.3,-69.626,-52.191
Ho_Tm_Li_Se_,-4.508,-4.472,-60.631,-80.789,-60.577
Ho_Tm_Na_O_,-4.508,-4.472,-81.364,-108.662,-81.525
Ho_Tm_Na_S_,-4.508,-4.472,-64.59,-86.092,-64.562
Ho_Tm_Nd_S_,-4.508,-4.472,-76.506,-101.902,-76.391
Ho_Tm_Rh_S_,-4.508,-4.472,-72.812,-98.812,-73.949
Ho_Tm_Sb_O_,-4.508,-4.472,-80.069,-112.548,-79.636
Ho_Tm_Zr_S_,-4.508,-4.472,-83.934,-112.226,-83.866
Ho_V_Ag_Te_,-4.508,-8.955,-50.362,-68.238,-50.904
Ho_V_Ag_Se_,-4.508,-8.955,-56.584,-75.874,-57.009
Ho_V_Al_Se_,-4.508,-8.955,-58.653,-78.983,-59.44
Ho_V_Cr_Se_,-4.508,-8.955,-72.985,-97.78,-73.806
Ho_V_Cu_S_,-4.508,-8.955,-64.089,-87.788,-65.529
Ho_V_Dy_Se_,-4.508,-8.955,-68.917,-92.803,-69.816
Ho_V_Fe_O_,-4.508,-8.955,-88.844,-119.654,-90.369
Ho_V_Li_Te_,-4.508,-8.955,-53.55,-71.542,-53.785
Ho_V_Lu_S_,-4.508,-8.955,-74.715,-100.744,-75.798
Ho_V_Nd_S_,-4.508,-8.955,-76.506,-102.701,-77.191
Ho_V_Rh_Te_,-4.508,-8.955,-61.613,-86.479,-63.022
Ho_V_Sb_O_,-4.508,-8.955,-80.069,-112.256,-81.323
Ho_V_Sb_Se_,-4.508,-8.955,-59.565,-81.742,-59.861
Ho_V_Sm_Se_,-4.508,-8.955,-69.686,-93.702,-70.461
Ho_V_Tl_O_,-4.508,-8.955,-78.755,-104.55,-79.958
Ho_V_Tl_S_,-4.508,-8.955,-62.98,-83.727,-62.811
Ho_V_Zr_S_,-4.508,-8.955,-83.934,-113.343,-85.07
Ho_Y_As_O_,-4.508,-6.427,-78.793,-114.11,-80.334
Ho_Y_Eu_O_,-4.508,-6.427,-91.887,-121.282,-93.682
Ho_Y_Ga_Se_,-4.508,-6.427,-58.442,-79.927,-60.445
Ho_Y_Hg_O_,-4.508,-6.427,-69.89,-93.328,-71.536
Ho_Y_Sr_Te_,-4.508,-6.427,-54.931,-75.297,-57.001
Ho_Yb_Ag_O_,-4.508,-1.468,-79.2,-98.796,-73.533
Ho_Yb_Bi_S_,-4.508,-1.468,-63.905,-83.008,-61.284
Ho_Yb_Cr_S_,-4.508,-1.468,-78.642,-102.233,-75.851
Ho_Yb_Dy_O_,-4.508,-1.468,-92.254,-118.792,-88.909
Ho_Yb_Eu_Te_,-4.508,-1.468,-61.851,-80.261,-59.643
Ho_Yb_Ga_Te_,-4.508,-1.468,-52.3,-66.319,-48.824
Ho_Yb_In_Se_,-4.508,-1.468,-57.886,-73.438,-54.11
Ho_Yb_K_S_,-4.508,-1.468,-63.946,-80.103,-58.79
Ho_Yb_Li_O_,-4.508,-1.468,-83.605,-105.449,-77.564
Ho_Yb_Li_S_,-4.508,-1.468,-66.298,-83.382,-61.286
Ho_Yb_Mo_S_,-4.508,-1.468,-83.033,-107.829,-80.322
Ho_Yb_Na_S_,-4.508,-1.468,-64.59,-80.991,-59.475
Ho_Yb_Pt_Se_,-4.508,-1.468,-65.36,-82.075,-61.717
Ho_Yb_Rb_Te_,-4.508,-1.468,-51.584,-64.725,-47.519
Ho_Yb_Tb_Te_,-4.508,-1.468,-61.372,-79.638,-59.179
Ho_Yb_Tl_O_,-4.508,-1.468,-78.755,-99.56,-73.257
Ho_Zr_Cs_Te_,-4.508,-8.521,-51.423,-70.555,-53.425
Ho_Zr_Er_O_,-4.508,-8.521,-92.357,-123.514,-95.635
Ho_Zr_Sr_Se_,-4.508,-8.521,-61.818,-84.831,-64.226
Ho_Zr_Tb_Se_,-4.508,-8.521,-69.156,-94.752,-71.701
In_Ag_As_Te_,-2.574,-2.725,-41.686,-55.35,-41.41
In_Ag_Ca_Se_,-2.574,-2.725,-47.851,-63.772,-47.924
In_Ag_Ce_O_,-2.574,-2.725,-77.399,-101.43,-76.831
In_Ag_Cs_O_,-2.574,-2.725,-56.775,-71.975,-52.651
In_Ag_Eu_S_,-2.574,-2.725,-63.063,-83.246,-62.218
In_Ag_Li_O_,-2.574,-2.725,-63.98,-81.516,-59.967
In_Ag_Na_Se_,-2.574,-2.725,-42.416,-54.752,-40.372
In_Ag_Nd_Se_,-2.574,-2.725,-58.392,-77.025,-57.553
In_Ag_Ni_Te_,-2.574,-2.725,-45.048,-59.828,-44.784
In_Ag_Ni_S_,-2.574,-2.725,-52.21,-69.296,-51.896
In_Ag_Pd_Te_,-2.574,-2.725,-45.674,-60.578,-45.326
In_Ag_Pr_O_,-2.574,-2.725,-77.902,-102.075,-77.268
In_Ag_Rh_Te_,-2.574,-2.725,-51.762,-68.666,-51.412
In_Ag_Sb_Se_,-2.574,-2.725,-44.837,-59.348,-44.355
In_Ag_Tb_O_,-2.574,-2.725,-79.831,-104.407,-78.923
In_Ag_V_S_,-2.574,-2.725,-67.521,-89.271,-67.436
In_Al_Ag_O_,-2.574,-3.738,-58.493,-81.231,-62.996
In_Al_Ag_Te_,-2.574,-3.738,-36.758,-50.271,-38.076
In_Al_Ba_S_,-2.574,-3.738,-51.476,-70.561,-53.164
In_Al_Ca_O_,-2.574,-3.738,-66.055,-91.78,-68.817
In_Al_Ce_Se_,-2.574,-3.738,-58.353,-77.966,-58.512
In_Al_Cs_Te_,-2.574,-3.738,-36.142,-49.461,-37.656
In_Al_Cs_Se_,-2.574,-3.738,-40.963,-56.189,-42.309
In_Al_Cu_O_,-2.574,-3.738,-59.456,-86.624,-67.052
In_Al_Ga_Se_,-2.574,-3.738,-42.454,-58.181,-44.082
In_Al_Ga_S_,-2.574,-3.738,-46.257,-62.01,-48.359
In_Al_K_O_,-2.574,-3.738,-59.47,-82.852,-63.227
In_Al_Li_S_,-2.574,-3.738,-48.729,-67.263,-51.107
In_Al_Rb_O_,-2.574,-3.738,-58.046,-80.823,-61.625
In_Al_Rb_S_,-2.574,-3.738,-45.41,-62.495,-46.921
In_Al_Sn_Te_,-2.574,-3.738,-41.439,-56.317,-42.399
In_Al_Sn_S_,-2.574,-3.738,-48.644,-67.186,-50.57
In_As_Ag_Te_,-2.574,-4.581,-36.758,-50.53,-38.269
In_As_Ba_O_,-2.574,-4.581,-62.513,-84.643,-64.32
In_As_Bi_Te_,-2.574,-4.581,-41.326,-55.588,-41.996
In_As_Ca_Te_,-2.574,-4.581,-42.737,-57.961,-43.697
In_As_Cs_S_,-2.574,-4.581,-44.957,-60.533,-44.316
In_As_Cu_O_,-2.574,-4.581,-59.456,-82.273,-57.315
In_As_Cu_S_,-2.574,-4.581,-47.288,-64.684,-48.35
In_As_Fe_O_,-2.574,-4.581,-73.696,-97.959,-75.256
In_As_Fe_Te_,-2.574,-4.581,-51.279,-69.565,-53.087
In_As_Hg_S_,-2.574,-4.581,-36.376,-49.177,-37.01
In_As_K_O_,-2.574,-4.581,-59.47,-79.359,-59.5
In_As_Na_S_,-2.574,-4.581,-46.964,-63.26,-47.635
In_As_Pt_S_,-2.574,-4.581,-53.546,-72.503,-54.798
In_As_Rb_O_,-2.574,-4.581,-58.046,-77.512,-58.089
In_As_Sb_O_,-2.574,-4.581,-60.098,-81.252,-61.473
In_As_Sm_O_,-2.574,-4.581,-78.885,-104.045,-80.534
In_As_Sn_S_,-2.574,-4.581,-48.644,-65.884,-48.221
In_As_Tb_Te_,-2.574,-4.581,-52.023,-68.757,-51.271
In_As_Tl_Te_,-2.574,-4.581,-36.948,-50.602,-38.293
In_As_Zr_O_,-2.574,-4.581,-90.581,-123.168,-92.112
In_As_Zr_S_,-2.574,-4.581,-71.76,-96.113,-72.861
In_Ba_Bi_Se_,-2.574,-1.914,-45.119,-62.06,-46.971
In_Ba_Cs_S_,-2.574,-1.914,-44.957,-60.179,-45.526
In_Ba_Cu_Te_,-2.574,-1.914,-39.038,-53.318,-40.395
In_Ba_Eu_Se_,-2.574,-1.914,-58.225,-79.315,-59.95
In_Ba_Ga_Se_,-2.574,-1.914,-42.454,-57.996,-44.043
In_Ba_Hg_O_,-2.574,-1.914,-49.455,-65.83,-50.813
In_Ba_Ho_Se_,-2.574,-1.914,-57.886,-78.695,-59.488
In_Ba_Ni_Te_,-2.574,-1.914,-45.048,-61.208,-46.219
In_Ba_Pr_Te_,-2.574,-1.914,-52.768,-72.043,-54.48
In_Ba_Pr_Se_,-2.574,-1.914,-58.397,-79.708,-60.27
In_Ba_Rh_Se_,-2.574,-1.914,-54.691,-75.107,-56.484
In_Ba_Tb_Se_,-2.574,-1.914,-58.114,-79.078,-59.763
In_Ba_Y_O_,-2.574,-1.914,-85.814,-115.219,-86.753
In_Bi_Ag_Te_,-2.574,-3.743,-36.758,-50.315,-38.016
In_Bi_As_Se_,-2.574,-3.743,-45.027,-60.499,-45.514
In_Bi_Cu_Se_,-2.574,-3.743,-43.208,-58.614,-44.192
In_Bi_Fe_Se_,-2.574,-3.743,-55.767,-75.488,-57.084
In_Bi_Hg_O_,-2.574,-3.743,-49.455,-65.755,-49.523
In_Bi_Lu_O_,-2.574,-3.743,-80.924,-107.1,-82.257
In_Bi_Mo_S_,-2.574,-3.743,-71.203,-96.463,-72.189
In_Bi_Ni_Se_,-2.574,-3.743,-48.434,-65.33,-49.257
In_Bi_Sb_Se_,-2.574,-3.743,-44.837,-60.102,-45.253
In_Bi_Sc_Se_,-2.574,-3.743,-61.553,-82.085,-61.644
In_Bi_Sr_Se_,-2.574,-3.743,-47.02,-64.103,-48.451
In_Bi_Tl_S_,-2.574,-3.743,-45.508,-61.458,-46.339
In_Bi_V_O_,-2.574,-3.743,-84.042,-110.824,-83.986
In_Bi_Y_O_,-2.574,-3.743,-85.814,-113.712,-87.23
In_Ca_Al_S_,-2.574,-1.918,-52.501,-71.703,-54.038
In_Ca_Ho_O_,-2.574,-1.918,-80.197,-107.662,-81.627
In_Ca_Li_Te_,-2.574,-1.918,-38.446,-52.694,-39.949
In_Ca_Na_Te_,-2.574,-1.918,-36.942,-50.514,-38.305
In_Ca_Ni_S_,-2.574,-1.918,-52.21,-71.659,-54.236
In_Ca_Pr_S_,-2.574,-1.918,-62.974,-85.567,-64.583
In_Ca_Tl_Te_,-2.574,-1.918,-36.948,-50.759,-38.431
In_Ca_V_Se_,-2.574,-1.918,-61.809,-83.289,-62.46
In_Ce_Al_Se_,-2.574,-4.731,-47.139,-67.147,-51.396
In_Ce_As_Te_,-2.574,-4.731,-41.686,-59.394,-45.088
In_Ce_Co_S_,-2.574,-4.731,-57.637,-81.644,-62.13
In_Ce_Fe_Se_,-2.574,-4.731,-55.767,-79.025,-59.924
In_Ce_Ho_O_,-2.574,-4.731,-80.197,-110.945,-84.858
In_Ce_La_O_,-2.574,-4.731,-79.303,-110.647,-84.113
In_Ce_Mo_S_,-2.574,-4.731,-71.203,-100.081,-74.562
In_Ce_Na_Se_,-2.574,-4.731,-42.416,-61.695,-47.694
In_Ce_Rb_Te_,-2.574,-4.731,-36.329,-53.455,-41.437
In_Ce_Rb_Se_,-2.574,-4.731,-41.291,-60.326,-46.669
In_Ce_Sb_S_,-2.574,-4.731,-48.024,-68.753,-52.801
In_Ce_Sm_O_,-2.574,-4.731,-78.885,-109.501,-83.652
In_Ce_Sm_Te_,-2.574,-4.731,-52.385,-73.37,-55.944
In_Ce_Sn_S_,-2.574,-4.731,-48.644,-70.637,-54.457
In_Ce_Sr_Se_,-2.574,-4.731,-47.02,-68.996,-53.369
In_Ce_Tl_O_,-2.574,-4.731,-51.391,-83.704,-56.292
In_Ce_Y_Te_,-2.574,-4.731,-55.125,-80.322,-61.106
In_Co_Ag_Se_,-2.574,-6.825,-40.835,-57.993,-44.356
In_Co_Li_Se_,-2.574,-6.825,-44.045,-61.897,-47.458
In_Co_Lu_S_,-2.574,-6.825,-62.655,-84.036,-65.076
In_Co_Sc_S_,-2.574,-6.825,-66.714,-89.861,-69.281
In_Cr_Ag_Se_,-2.574,-9.494,-40.835,-59.997,-46.212
In_Cr_Fe_O_,-2.574,-9.494,-73.696,-102.041,-79.846
In_Cr_Nd_O_,-2.574,-9.494,-78.02,-107.298,-83.259
In_Cr_Tb_S_,-2.574,-9.494,-63.075,-85.796,-66.097
In_Cr_V_S_,-2.574,-9.494,-67.521,-93.014,-72.036
In_Cr_Yb_Te_,-2.574,-9.494,-41.429,-60.377,-46.442
In_Cs_Al_Te_,-2.574,-0.831,-41.287,-54.537,-40.806
In_Cs_Ba_Se_,-2.574,-0.831,-47.649,-63.133,-47.097
In_Cs_Co_O_,-2.574,-0.831,-69.901,-88.15,-65.539
In_Cs_Eu_Te_,-2.574,-0.831,-52.272,-69.423,-52.012
In_Cs_La_S_,-2.574,-0.831,-64.38,-85.75,-64.295
In_Cs_Lu_S_,-2.574,-0.831,-62.655,-83.35,-62.466
In_Cs_Mo_S_,-2.574,-0.831,-71.203,-94.236,-69.08
In_Cs_Nd_S_,-2.574,-0.831,-63.042,-83.97,-62.953
In_Cs_Ni_O_,-2.574,-0.831,-62.833,-82.475,-61.169
In_Cs_Pt_Se_,-2.574,-0.831,-50.34,-66.103,-49.441
In_Cs_Sb_Te_,-2.574,-0.831,-41.206,-54.14,-40.46
In_Cs_Sb_S_,-2.574,-0.831,-48.024,-63.654,-47.607
In_Cs_Sn_O_,-2.574,-0.831,-62.558,-80.555,-60.338
In_Cs_Sn_S_,-2.574,-0.831,-48.644,-64.528,-47.788
In_Cs_Tl_Te_,-2.574,-0.831,-36.948,-46.985,-35.525
In_Cs_Tl_S_,-2.574,-0.831,-45.508,-56.92,-42.566
In_Cs_V_Te_,-2.574,-0.831,-55.635,-73.356,-54.471
In_Cu_As_Te_,-2.574,-3.73,-41.686,-55.886,-41.975
In_Cu_Bi_Se_,-2.574,-3.73,-45.119,-60.063,-44.988
In_Cu_Cs_O_,-2.574,-3.73,-56.775,-73.421,-53.856
In_Cu_Cs_Te_,-2.574,-3.73,-36.142,-47.828,-35.3
In_Cu_Er_Se_,-2.574,-3.73,-57.776,-76.421,-57.121
In_Cu_Ga_Te_,-2.574,-3.73,-38.352,-51.702,-38.908
In_Cu_Hg_O_,-2.574,-3.73,-49.455,-63.619,-47.027
In_Cu_La_O_,-2.574,-3.73,-79.303,-104.142,-79.902
In_Cu_Ni_Te_,-2.574,-3.73,-45.048,-60.308,-45.444
In_Cu_Pd_Te_,-2.574,-3.73,-45.674,-61.241,-46.081
In_Cu_Rb_O_,-2.574,-3.73,-58.046,-75.014,-55.128
In_Cu_Sc_Te_,-2.574,-3.73,-55.356,-73.573,-55.057
In_Cu_Y_O_,-2.574,-3.73,-85.814,-112.452,-85.841
In_Cu_Y_S_,-2.574,-3.73,-68.863,-91.228,-69.117
In_Cu_Yb_O_,-2.574,-3.73,-66.731,-90.58,-68.346
In_Cu_Zr_Te_,-2.574,-3.73,-59.192,-79.013,-59.35
In_Dy_Ag_S_,-2.574,-4.528,-44.749,-65.535,-50.339
In_Dy_Al_O_,-2.574,-4.528,-74.458,-101.285,-77.955
In_Dy_Al_Se_,-2.574,-4.528,-47.139,-66.429,-50.468
In_Dy_Ca_S_,-2.574,-4.528,-52.208,-75.95,-58.53
In_Dy_Cu_Se_,-2.574,-4.528,-43.208,-63.271,-48.185
In_Dy_Li_S_,-2.574,-4.528,-48.729,-70.614,-54.385
In_Dy_Na_Se_,-2.574,-4.528,-42.416,-61.862,-47.742
In_Dy_Nd_O_,-2.574,-4.528,-78.02,-108.495,-83.144
In_Dy_Pt_O_,-2.574,-4.528,-60.851,-90.682,-65.129
In_Dy_Pt_S_,-2.574,-4.528,-53.546,-74.921,-58.309
In_Dy_Sb_Te_,-2.574,-4.528,-41.206,-58.352,-44.548
In_Dy_Sn_O_,-2.574,-4.528,-62.558,-87.697,-66.128
In_Dy_Sr_Te_,-2.574,-4.528,-42.063,-61.529,-47.505
In_Dy_Sr_S_,-2.574,-4.528,-51.168,-74.766,-57.664
In_Dy_Tb_O_,-2.574,-4.528,-79.831,-110.161,-84.645
In_Dy_V_O_,-2.574,-4.528,-84.042,-114.489,-87.555
In_Er_As_Se_,-2.574,-4.492,-45.027,-64.435,-49.258
In_Er_Ca_Te_,-2.574,-4.492,-42.737,-62.045,-47.805
In_Er_Ca_S_,-2.574,-4.492,-52.208,-75.886,-58.456
In_Er_Cs_S_,-2.574,-4.492,-44.957,-65.62,-49.894
In_Er_Hg_S_,-2.574,-4.492,-36.376,-53.512,-41.351
In_Er_K_O_,-2.574,-4.492,-59.47,-85.847,-65.986
In_Er_Lu_Se_,-2.574,-4.492,-57.401,-78.748,-59.677
In_Er_Lu_S_,-2.574,-4.492,-62.655,-86.352,-65.196
In_Er_Na_Te_,-2.574,-4.492,-36.942,-54.049,-41.731
In_Er_Rh_Te_,-2.574,-4.492,-51.762,-72.672,-54.788
In_Er_Sr_O_,-2.574,-4.492,-63.678,-92.388,-70.895
In_Er_Sr_S_,-2.574,-4.492,-51.168,-74.696,-57.581
In_Er_Tb_Te_,-2.574,-4.492,-52.023,-71.849,-54.595
In_Er_Yb_Se_,-2.574,-4.492,-46.837,-68.281,-52.626
In_Er_Zr_O_,-2.574,-4.492,-90.581,-122.9,-93.397
In_Eu_Ca_Se_,-2.574,-4.605,-47.851,-69.856,-53.9
In_Eu_Hg_Se_,-2.574,-4.605,-33.154,-48.834,-37.751
In_Eu_Ho_S_,-2.574,-4.605,-61.204,-87.004,-66.212
In_Eu_K_S_,-2.574,-4.605,-46.198,-67.201,-51.841
In_Eu_Li_S_,-2.574,-4.605,-48.729,-70.531,-54.332
In_Eu_Na_Te_,-2.574,-4.605,-36.942,-54.183,-41.9
In_Eu_Na_Se_,-2.574,-4.605,-42.416,-61.854,-47.761
In_Eu_Rb_Te_,-2.574,-4.605,-36.329,-53.413,-41.331
In_Eu_Sn_O_,-2.574,-4.605,-62.558,-87.651,-66.037
In_Eu_Tl_Te_,-2.574,-4.605,-36.948,-54.009,-41.654
In_Eu_V_O_,-2.574,-4.605,-84.042,-114.456,-87.319
In_Eu_V_Te_,-2.574,-4.605,-55.635,-77.466,-58.763
In_Fe_Gd_O_,-2.574,-8.161,-79.607,-106.767,-82.61
In_Fe_Li_Se_,-2.574,-8.161,-44.045,-62.655,-48.211
In_Fe_Mo_Se_,-2.574,-8.161,-65.676,-89.851,-69.145
In_Fe_Pr_O_,-2.574,-8.161,-77.902,-104.86,-81.026
In_Fe_Sn_O_,-2.574,-8.161,-62.558,-86.792,-65.436
In_Ga_Ag_O_,-2.574,-2.923,-58.493,-77.907,-59.573
In_Ga_As_O_,-2.574,-2.923,-60.069,-83.475,-60.67
In_Ga_Ca_S_,-2.574,-2.923,-52.208,-70.055,-52.708
In_Ga_Ce_O_,-2.574,-2.923,-77.399,-102.335,-77.385
In_Ga_Ce_Se_,-2.574,-2.923,-58.353,-77.906,-58.453
In_Ga_Cs_Te_,-2.574,-2.923,-36.142,-47.978,-36.9
In_Ga_Er_S_,-2.574,-2.923,-62.889,-83.972,-63.006
In_Ga_Gd_O_,-2.574,-2.923,-79.607,-105.04,-79.827
In_Ga_Hg_O_,-2.574,-2.923,-49.455,-66.012,-50.562
In_Ga_Ho_O_,-2.574,-2.923,-80.197,-105.687,-80.314
In_Ga_La_Se_,-2.574,-2.923,-59.798,-79.764,-59.84
In_Ga_La_S_,-2.574,-2.923,-64.38,-85.872,-64.416
In_Ga_Li_Se_,-2.574,-2.923,-44.045,-58.766,-44.127
In_Ga_Lu_Te_,-2.574,-2.923,-51.003,-68.145,-51.143
In_Ga_Ni_S_,-2.574,-2.923,-52.21,-69.986,-52.631
In_Ga_Tb_Se_,-2.574,-2.923,-58.114,-77.602,-58.231
In_Gd_Ag_Te_,-2.574,-4.584,-36.758,-53.505,-41.225
In_Gd_As_Se_,-2.574,-4.584,-45.027,-64.548,-49.377
In_Gd_Ba_S_,-2.574,-4.584,-51.476,-75.279,-58.033
In_Gd_Ca_S_,-2.574,-4.584,-52.208,-76.001,-58.594
In_Gd_Co_S_,-2.574,-4.584,-57.637,-81.26,-61.431
In_Gd_Cs_Te_,-2.574,-4.584,-36.142,-53.182,-40.922
In_Gd_Dy_O_,-2.574,-4.584,-80.021,-110.485,-84.838
In_Gd_Er_Te_,-2.574,-4.584,-51.524,-70.431,-54.267
In_Gd_Er_Se_,-2.574,-4.584,-57.776,-79.494,-60.639
In_Gd_Fe_Te_,-2.574,-4.584,-51.279,-72.438,-54.272
In_Gd_Hg_Se_,-2.574,-4.584,-33.154,-48.839,-37.764
In_Gd_Li_Te_,-2.574,-4.584,-38.446,-56.221,-43.395
In_Gd_Rh_S_,-2.574,-4.584,-58.549,-82.915,-63.086
In_Gd_Sn_O_,-2.574,-4.584,-62.558,-87.692,-66.093
In_Gd_Y_O_,-2.574,-4.584,-85.814,-118.179,-90.63
In_Hg_Ag_O_,-2.574,-0.189,-58.493,-70.33,-50.91
In_Hg_As_O_,-2.574,-0.189,-60.069,-78.458,-57.581
In_Hg_Co_Te_,-2.574,-0.189,-49.005,-63.372,-46.631
In_Hg_Dy_S_,-2.574,-0.189,-63.015,-80.556,-59.527
In_Hg_Ho_S_,-2.574,-0.189,-61.204,-80.475,-59.469
In_Hg_Mo_Se_,-2.574,-0.189,-65.676,-85.904,-63.405
In_Hg_Na_O_,-2.574,-0.189,-61.616,-75.35,-54.736
In_Hg_Na_Se_,-2.574,-0.189,-42.416,-52.216,-38.011
In_Hg_Sn_O_,-2.574,-0.189,-62.558,-80.321,-59.837
In_Hg_Tl_Se_,-2.574,-0.189,-41.611,-51.563,-37.737
In_Hg_V_Se_,-2.574,-0.189,-61.809,-79.805,-59.241
In_Ho_Al_Te_,-2.574,-4.508,-41.287,-58.531,-44.749
In_Ho_Co_O_,-2.574,-4.508,-69.901,-95.933,-73.505
In_Ho_Cs_S_,-2.574,-4.508,-44.957,-65.633,-50.637
In_Ho_Fe_Te_,-2.574,-4.508,-51.279,-72.127,-54.497
In_Ho_Pr_S_,-2.574,-4.508,-62.974,-87.574,-66.633
In_Ho_Rb_Te_,-2.574,-4.508,-36.329,-53.293,-41.071
In_Ho_Rb_S_,-2.574,-4.508,-45.41,-66.209,-51.075
In_Ho_Sc_Te_,-2.574,-4.508,-55.356,-76.391,-58.157
In_Ho_Sr_O_,-2.574,-4.508,-63.678,-92.368,-70.882
In_K_Ca_O_,-2.574,-1.033,-66.055,-88.78,-66.619
In_K_Ca_Se_,-2.574,-1.033,-47.851,-64.019,-48.141
In_K_Cu_O_,-2.574,-1.033,-59.456,-78.346,-57.745
In_K_Sn_O_,-2.574,-1.033,-62.558,-81.379,-61.355
In_K_Tl_S_,-2.574,-1.033,-45.508,-58.049,-43.14
In_K_Y_S_,-2.574,-1.033,-68.863,-92.2,-69.239
In_La_Ag_O_,-2.574,-4.876,-58.493,-82.924,-64.999
In_La_Cu_O_,-2.574,-4.876,-59.456,-88.327,-65.706
In_La_Cu_Te_,-2.574,-4.876,-39.038,-56.979,-43.944
In_La_Dy_O_,-2.574,-4.876,-80.021,-111.298,-85.335
In_La_Eu_S_,-2.574,-4.876,-63.063,-88.371,-67.443
In_La_Ho_S_,-2.574,-4.876,-61.204,-87.979,-67.086
In_La_K_Se_,-2.574,-4.876,-41.945,-61.651,-47.789
In_La_Ni_O_,-2.574,-4.876,-62.833,-91.637,-68.205
In_La_Pt_S_,-2.574,-4.876,-53.546,-77.867,-58.765
In_La_Rb_O_,-2.574,-4.876,-58.046,-83.611,-64.352
In_La_Sb_S_,-2.574,-4.876,-48.024,-69.286,-53.332
In_La_Sn_O_,-2.574,-4.876,-62.558,-88.618,-66.546
In_La_Sn_S_,-2.574,-4.876,-48.644,-71.149,-54.973
In_La_Tl_O_,-2.574,-4.876,-51.391,-84.4,-64.769
In_La_Y_S_,-2.574,-4.876,-68.863,-95.834,-73.046
In_La_Zr_O_,-2.574,-4.876,-90.581,-124.207,-93.865
In_Li_Ag_Se_,-2.574,-1.916,-40.835,-53.82,-40.338
In_Li_As_Te_,-2.574,-1.916,-41.686,-55.873,-41.954
In_Li_Cr_S_,-2.574,-1.916,-65.442,-88.361,-66.447
In_Li_Hg_Se_,-2.574,-1.916,-33.154,-44.186,-33.102
In_Li_La_O_,-2.574,-1.916,-79.303,-105.386,-79.607
In_Li_Lu_O_,-2.574,-1.916,-80.924,-106.928,-81.118
In_Li_Pt_Se_,-2.574,-1.916,-50.34,-67.368,-50.533
In_Li_Rh_S_,-2.574,-1.916,-58.549,-78.551,-59.344
In_Li_Sb_Se_,-2.574,-1.916,-44.837,-60.35,-45.325
In_Li_Tb_Te_,-2.574,-1.916,-52.023,-69.727,-52.369
In_Li_Tl_Se_,-2.574,-1.916,-41.611,-54.699,-40.861
In_Li_V_O_,-2.574,-1.916,-84.042,-111.751,-84.995
In_Li_Y_Se_,-2.574,-1.916,-63.874,-85.647,-64.344
In_Lu_Ce_O_,-2.574,-4.45,-77.399,-108.142,-82.185
In_Lu_Dy_Te_,-2.574,-4.45,-51.856,-71.286,-54.095
In_Lu_Ga_S_,-2.574,-4.45,-46.257,-65.83,-51.587
In_Lu_Hg_S_,-2.574,-4.45,-36.376,-53.451,-41.314
In_Lu_K_Te_,-2.574,-4.45,-36.821,-53.775,-41.492
In_Lu_La_O_,-2.574,-4.45,-79.303,-109.952,-84.156
In_Lu_Na_Te_,-2.574,-4.45,-36.942,-53.926,-41.598
In_Lu_Ni_O_,-2.574,-4.45,-62.833,-91.227,-70.109
In_Lu_Pt_Te_,-2.574,-4.45,-48.005,-66.734,-50.791
In_Lu_Pt_S_,-2.574,-4.45,-53.546,-74.592,-58.246
In_Lu_Rh_Se_,-2.574,-4.45,-54.691,-76.808,-58.321
In_Lu_Sn_Se_,-2.574,-4.45,-45.301,-65.565,-50.33
In_Lu_Y_S_,-2.574,-4.45,-68.863,-94.18,-71.57
In_Lu_Yb_O_,-2.574,-4.45,-66.731,-96.326,-73.795
In_Mo_Bi_O_,-2.574,-10.968,-59.997,-88.171,-66.836
In_Mo_Dy_O_,-2.574,-10.968,-80.021,-109.84,-86.413
In_Mo_Er_O_,-2.574,-10.968,-80.376,-110.338,-86.738
In_Mo_K_O_,-2.574,-10.968,-59.47,-86.267,-66.845
In_Mo_Li_O_,-2.574,-10.968,-63.98,-92.197,-71.204
In_Mo_Li_Te_,-2.574,-10.968,-38.446,-58.41,-45.733
In_Mo_Nd_S_,-2.574,-10.968,-63.042,-87.417,-66.927
In_Mo_Ni_Se_,-2.574,-10.968,-48.434,-70.121,-55.714
In_Mo_Pt_O_,-2.574,-10.968,-60.851,-91.169,-68.189
In_Mo_Sn_O_,-2.574,-10.968,-62.558,-89.971,-68.973
In_Mo_Sn_Se_,-2.574,-10.968,-45.301,-67.797,-52.187
In_Na_Ag_O_,-2.574,-1.319,-58.493,-73.347,-54.332
In_Na_As_O_,-2.574,-1.319,-60.069,-83.007,-61.064
In_Na_Cr_O_,-2.574,-1.319,-80.971,-107.237,-80.64
In_Na_Er_O_,-2.574,-1.319,-80.376,-106.063,-79.604
In_Na_Gd_O_,-2.574,-1.319,-79.607,-105.249,-78.981
In_Na_La_O_,-2.574,-1.319,-79.303,-105.149,-78.794
